id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_other,edu_status,edu_yr,income,political,join_party,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9
11,4,1,6,15,31,2015/8/9 19:12,2,1988,1,1,1,6,,4,2008,24000,1,,200,0,1,1,0,0,0,0,0,0,,165,100,4,4,5,1,2,2,1,1,5,5,1,1,3,3,4,4,4,3,3,4,5,5,1,3,3,1,2,3,2,4,4,3,4,3,5,,,,,2,1,2,2,60000,5,3,1,2,0,1,0,0,0,0,0,0,0,,0,2,2,3,2014,1989,2014,5,1,1,36000,1,3,1,1968,1,1,2,1968,1,1,2,2,2,4,2,50000,3,4,4,4,4,4,3,4,5,5,-8,4,3,4,78,80,80,80,80,79,81,80,80
12,4,2,23,69,109,2015/9/23 19:12,1,1968,1,0,3,1,,,,8000,1,,199,0,1,1,1,0,0,0,0,0,,173,120,4,2,2,1,1,1,1,5,5,1,2,1,4,2,5,5,5,5,5,5,4,4,5,4,4,1,5,5,1,2,6,6,7,5,4,,,,,1,2,2,2,16500,3,3,3,2,0,1,0,0,0,0,0,0,0,,0,2,1,3,1990,1970,1990,1,1,1,8000,4,,,1945,10,1,2,1948,1,1,2,3,1,4,2,40000,5,5,5,3,5,4,3,3,3,3,3,3,1,5,100,20,60,70,60,80,62,52,75
13,4,1,21,64,100,2015/7/18 9:33,1,1964,1,1,3,10,,4,1984,36000,4,2002,80,0,1,1,0,0,1,0,0,0,,171,120,4,5,4,2,1,4,3,2,4,4,1,1,5,4,1,5,4,4,3,1,5,5,1,2,3,3,5,5,1,3,4,4,5,4,1,3,35,1,3,1,1,2,2,36000,2,2,1,2,0,1,0,0,0,0,0,0,0,,0,1,0,3,1990,1967,1990,7,1,2,0,5,,,1928,3,4,1,1936,1,1,1,2,1,5,2,50000,2,3,-8,-8,4,3,2,3,3,4,-8,-8,1,4,80,80,70,70,70,70,70,70,60
14,2,1,4,7,14,2015/10/18 16:03,2,1939,1,1,1,3,,2,,40000,1,,56,0,1,0,0,0,0,0,0,0,,156,115,1,1,1,5,1,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,2,1,,,1,3,1,7,1,4,5,,,,,1,1,2,2,90000,2,3,1,2,0,1,0,0,0,0,0,0,0,,0,4,0,3,1957,1940,1957,4,4,5,50000,5,,,1916,1,1,2,1917,1,1,2,2,3,3,2,40000,2,2,4,4,4,4,4,4,4,4,-8,5,2,3,80,70,70,65,70,60,80,80,70
15,4,2,15,41,72,2015/7/15 15:05,2,1935,1,0,4,1,,,,1000,1,,40,0,0,1,0,0,0,0,0,0,,136,65,1,-8,-8,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,3,1,1,5,3,1,5,2,1,3,-8,4,,,,,1,-1,2,2,30000,4,3,1,2,0,1,0,0,0,0,0,0,0,,0,1,0,3,1960,1936,1960,1,1,1,9000,4,,,-2,-8,1,2,-2,-8,1,2,3,2,3,2,50000,4,2,2,3,3,3,3,3,3,3,-8,-8,2,5,-2,80,70,-2,-2,-2,80,-2,80
16,4,2,29,82,124,2015/7/22 14:46,1,1983,1,1,1,4,,2,1998,45000,1,,120,0,0,0,0,1,0,0,0,0,,185,185,4,5,3,1,1,2,2,2,5,5,1,2,4,4,4,5,5,5,1,5,5,5,1,3,4,1,5,7,1,4,6,3,-8,5,1,3,8,1,3,1,1,1,2,50000,5,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,1,3,2013,1987,2013,4,1,1,0,1,3,1,1945,1,1,2,1945,3,1,15,2,1,5,2,60000,4,2,2,2,4,4,2,4,2,2,-8,2,2,5,100,100,100,100,60,100,100,60,-2
17,4,1,6,16,32,2015/8/10 10:41,2,1974,1,0,4,4,,4,1989,0,2,,63,0,1,1,0,0,0,0,0,0,,162,120,2,3,3,1,3,2,2,2,4,4,3,1,3,4,4,4,3,4,2,4,4,5,2,2,4,2,6,3,1,2,5,4,6,3,5,,,,,1,2,2,2,36000,3,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,2000,1977,2000,5,1,2,36000,1,3,1,1932,-8,1,2,-2,1,1,2,2,2,3,2,20000,3,3,3,3,5,4,2,3,3,3,3,3,1,2,80,70,70,80,70,60,70,80,80
18,4,2,31,87,131,2015/8/17 9:52,2,1962,1,0,8,6,,4,1979,0,1,,90,0,1,1,0,0,0,0,0,0,,155,90,2,2,3,1,1,2,2,3,5,1,1,1,5,3,4,4,3,3,5,4,3,5,5,3,4,2,1,2,2,2,1,1,1,1,3,,,,,1,1,1,1,20000,1,3,1,2,0,1,0,0,0,0,0,0,0,,0,2,0,3,1985,1960,1985,4,1,1,20000,3,,,1922,4,1,2,1922,3,1,2,2,1,4,2,50000,4,4,4,4,4,4,4,4,4,4,4,4,1,5,50,50,50,50,50,50,30,40,50
19,4,1,4,7,16,2015/10/18 10:28,1,1976,1,1,1,7,,4,1998,100000,1,,77,0,1,0,0,0,0,0,0,0,,170,135,5,5,5,4,3,4,4,4,4,4,4,2,3,2,3,3,3,2,2,3,3,3,2,3,3,3,4,4,4,4,6,6,5,4,1,2,17,1,2,1,1,2,2,200000,5,3,1,1,0,0,1,0,0,0,0,0,0,,1,0,1,3,2006,1980,2006,7,1,5,50000,1,3,1,1945,4,1,1,1945,1,1,2,2,2,3,2,1.00E+07,4,3,3,4,3,3,4,4,3,3,3,4,4,4,80,70,70,70,70,70,70,70,70
20,5,1,4,7,22,2015/9/11 9:54,1,1965,1,1,1,4,,4,1981,100000,4,1998,91,0,0,1,0,0,0,0,0,0,,175,160,5,5,5,2,1,4,2,5,4,4,4,1,4,3,1,4,3,3,1,1,2,5,1,4,4,4,5,3,3,4,6,5,6,3,1,2,8,1,1,1,1,2,2,100000,4,3,2,1,0,1,0,0,0,0,0,0,0,,1,1,0,3,1986,1963,1986,4,1,2,0,4,,,1939,3,1,1,1944,4,1,2,2,1,3,2,120000,4,4,5,5,5,5,4,5,4,4,1,5,1,5,60,50,40,50,50,80,80,80,80
21,4,1,27,79,119,2015/7/25 9:34,1,1951,3,1,1,4,,4,1967,25000,1,,71,0,0,1,0,0,0,0,0,0,,165,130,2,2,3,2,1,2,2,2,5,1,1,1,4,4,4,5,5,5,2,1,5,5,5,3,4,1,1,5,1,2,3,3,3,3,5,,,,,1,1,2,2,80000,5,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,1976,1953,1976,4,1,2,20000,5,,,1929,2,4,1,1929,2,1,1,2,2,5,2,60000,2,1,-8,-8,5,4,2,3,2,5,-8,-8,1,4,50,50,60,50,60,60,50,50,50
22,5,2,9,21,43,2015/7/5 8:08,2,1948,1,1,1,1,,,,2000,1,,100,0,0,1,0,0,0,0,0,0,,160,120,1,2,2,1,1,1,1,1,4,1,1,1,5,3,5,5,3,5,5,5,5,5,5,2,3,1,3,7,2,4,1,1,4,1,4,,,,,1,1,2,2,20000,6,3,1,1,0,1,0,0,0,0,0,0,0,,1,3,0,3,1970,1949,1970,3,1,1,4000,3,,,-2,1,1,2,-2,1,1,2,3,3,4,2,1000,4,4,4,4,4,-8,4,-8,4,-8,-8,-8,3,5,100,100,100,100,100,100,100,100,100
23,4,1,21,62,98,2015/7/18 10:53,2,1980,1,1,1,3,,4,1992,5000,1,,220,0,0,0,0,0,1,0,0,0,,154,90,4,4,3,1,2,1,1,1,2,1,1,2,5,2,5,5,3,3,4,5,5,5,5,4,3,1,1,2,1,4,5,4,6,1,4,,,,,1,1,2,2,40000,5,2,1,2,0,1,0,0,0,0,0,0,0,,1,1,2,3,2003,1982,2003,4,1,1,30000,3,,,1952,3,1,2,1963,1,1,15,2,2,4,3,-2,5,4,4,4,4,4,3,5,5,3,-8,-8,1,3,60,70,50,50,60,40,60,40,70
24,4,1,19,57,92,2015/7/17 10:01,1,1942,1,1,1,6,,2,-2,48000,1,,80,0,0,0,0,0,0,0,0,1,,172,120,3,3,3,4,1,2,2,2,5,2,2,1,5,5,4,5,4,4,5,2,5,5,5,2,4,1,5,5,1,4,7,5,7,3,5,,,,,1,1,2,2,48000,1,3,0,2,0,1,0,0,0,0,0,0,0,,1,1,0,3,1967,1946,1967,4,1,5,0,5,,,-2,1,1,2,-2,1,1,-8,1,1,3,-8,-2,2,2,2,2,4,3,2,2,2,-8,-8,-8,2,2,80,85,70,90,70,75,90,90,90
25,4,1,12,32,58,2015/9/2 19:10,1,1956,1,1,1,6,,4,1979,-1,1,,63,0,1,0,0,0,0,0,0,0,,165,65,4,5,5,2,1,2,2,4,4,4,1,1,4,4,1,3,3,2,4,5,4,5,1,2,4,4,6,2,3,1,4,4,6,2,5,,,,,1,1,2,2,90000,3,3,1,2,0,1,0,0,0,0,0,0,0,,0,1,0,3,1960,1938,1960,6,4,5,50000,1,3,1,1918,3,1,1,-2,-8,1,5,2,2,4,-8,-2,2,2,3,3,5,3,2,2,2,-8,-8,-8,1,2,80,80,60,80,60,50,80,60,90
26,4,1,26,76,116,2015/10/17 17:15,2,1970,1,1,1,4,,4,1984,20000,1,,80,0,1,0,0,0,0,0,0,0,,156,100,4,4,4,2,1,2,1,2,3,2,1,2,3,2,2,3,3,3,3,5,5,3,2,3,3,3,2,2,2,4,3,3,3,2,1,2,26,1,4,1,2,2,2,60000,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,1993,1967,1993,4,1,2,30000,1,2,1,1950,3,1,2,1953,3,1,2,2,2,3,2,80000,4,4,4,4,4,3,4,4,5,4,4,4,4,2,85,85,89,89,89,89,89,89,89
27,5,1,17,48,80,2015/7/30 10:11,2,1966,1,1,1,4,,4,1984,19200,1,,117,0,0,1,0,0,0,0,0,0,,161,126,4,5,3,1,2,3,3,1,5,1,1,1,5,1,2,2,3,3,2,2,5,5,5,3,4,2,2,3,1,4,6,8,4,3,5,,,,,1,1,2,2,100000,1,3,2,2,0,0,0,1,0,0,0,0,0,,0,2,0,3,1988,1968,1968,6,1,1,100000,1,2,1,1934,12,4,1,1937,1,1,2,2,2,4,2,30000,4,4,3,3,3,3,2,3,3,3,-8,1,5,3,80,67,-2,40,30,40,-2,60,-2
28,4,1,31,88,133,2015/8/19 20:02,2,1963,1,1,1,4,,4,1979,10000,1,,79,0,1,0,0,0,0,0,0,0,,158,140,3,3,3,2,1,3,3,1,4,3,3,1,5,3,4,4,3,4,2,4,5,4,3,3,3,1,5,5,6,4,5,3,5,3,5,,,,,1,2,2,2,20000,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,1985,1962,1985,5,4,2,10000,1,5,1,1938,7,1,1,1943,3,1,1,3,1,4,2,30000,3,3,3,3,4,4,3,3,3,3,3,3,2,3,80,80,80,80,80,80,80,80,80
29,3,1,4,7,19,2015/10/3 18:47,1,1992,1,1,1,10,,4,2013,40000,2,,140,0,0,0,0,0,0,0,0,1,,183,135,4,4,3,1,3,1,2,3,3,5,5,4,3,4,3,4,4,2,1,2,5,4,2,4,4,4,7,2,6,2,4,1,7,3,1,5,4,2,2,1,2,1,2,40000,1,2,0,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1970,5,1,9,1971,3,1,5,2,1,2,2,200000,2,2,2,2,4,2,2,2,2,2,2,2,2,2,60,40,40,40,50,40,60,80,70
30,5,2,18,53,87,2015/7/15 15:24,1,1947,1,1,1,1,,,,3000,1,,80,0,0,0,1,0,0,0,0,0,,168,110,2,2,3,1,1,1,1,3,1,1,1,3,5,3,5,5,5,4,5,5,5,5,5,4,4,1,2,2,3,4,4,3,6,3,3,,,,,1,1,2,2,40000,2,2,1,2,0,1,0,0,0,0,0,0,0,,2,1,0,3,1976,1954,1976,1,1,1,1000,3,,,1920,1,1,2,1922,1,1,2,3,1,4,2,6000,5,4,4,4,5,4,4,-8,3,3,3,3,2,5,80,79,89,78,80,68,80,80,79
31,4,1,4,7,21,2015/9/19 15:26,1,1979,1,1,2,11,,4,-2,80000,1,,57,0,0,0,0,1,0,0,0,0,,171,146,4,4,3,2,1,1,1,2,5,5,1,1,4,1,5,5,4,3,2,4,4,5,1,2,3,3,6,6,2,4,6,4,8,-8,1,3,17,1,3,1,1,2,2,170000,2,3,1,1,0,0,1,0,0,0,0,0,0,,0,0,,3,2012,1987,2012,10,1,2,110000,1,2,1,1941,4,1,1,1948,4,1,1,2,1,3,3,120000,4,3,-8,-8,4,3,3,5,3,3,-8,3,3,4,50,60,50,60,50,60,50,60,70
32,4,1,27,80,120,2015/7/29 12:25,2,1965,1,1,1,4,,2,1980,20000,1,,90,0,0,1,0,0,0,0,0,0,,175,100,4,4,4,2,3,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,5,5,5,2,2,2,3,4,2,4,5,3,7,3,1,6,-2,1,2,2,2,2,1,40000,2,4,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,1984,1963,1984,4,1,2,20000,1,6,1,1942,4,1,2,1939,4,1,15,2,1,4,2,60000,4,3,4,3,5,3,3,3,2,-8,-8,3,1,3,60,60,70,70,60,70,60,70,60
33,4,1,4,7,20,2015/10/1 10:12,1,1926,1,1,1,12,,4,1958,100000,1,,70,0,1,0,0,0,0,0,0,0,,170,120,2,2,2,2,1,2,2,1,2,1,1,1,5,4,4,5,4,4,5,4,5,5,5,1,5,1,,,1,4,10,10,10,5,5,,,,,2,1,2,2,150000,3,4,1,2,0,0,0,1,0,0,0,0,0,,2,3,0,3,1947,1928,1947,3,1,2,30000,5,,,-2,3,1,2,-2,1,1,2,1,2,3,2,150000,4,4,4,4,4,4,4,4,4,4,-8,4,3,5,90,85,70,70,70,80,80,85,90
34,4,1,16,46,77,2015/7/27 19:24,2,1987,1,1,1,4,,4,2002,150000,1,,240,0,0,1,0,0,0,0,0,0,,168,98,5,4,4,1,1,3,3,1,4,4,4,2,3,3,2,3,3,3,2,3,4,4,1,3,3,3,3,3,-8,3,5,2,9,7,1,1,8,1,4,1,2,2,2,150000,2,2,0,2,0,1,0,0,0,0,0,0,0,,2,0,2,3,2005,1987,2005,4,1,1,10000,1,2,2,1965,3,1,1,1967,2,1,1,2,1,3,2,100000,3,3,4,4,5,5,5,3,3,3,2,2,1,2,60,65,60,60,65,60,70,60,65
35,4,2,9,21,43,2015/7/6 9:44,2,1937,1,0,3,1,,,,660,4,-2,40,0,1,1,0,0,0,0,0,0,,150,80,2,3,3,1,1,1,1,4,1,1,1,4,5,5,5,5,4,4,1,4,5,5,5,2,3,1,7,7,1,4,4,5,-8,3,4,,,,,1,1,2,2,10000,2,2,1,2,0,1,0,0,0,0,0,0,0,,3,1,0,3,1963,1941,1963,4,1,1,10000,3,,,-2,2,1,2,-2,1,1,2,3,2,3,2,-2,4,4,4,4,4,3,3,-8,4,-8,5,-8,2,5,70,80,80,80,80,80,70,80,80
36,4,1,15,39,70,2015/7/10 19:22,1,1957,1,1,1,4,,4,1972,20000,1,,25,0,0,0,0,0,0,0,0,1,,172,150,4,3,3,1,3,2,2,2,5,1,1,4,3,4,5,5,4,4,4,5,5,4,5,3,4,1,2,5,6,4,2,2,3,-8,1,4,35,1,3,1,1,2,2,30000,1,3,1,2,0,1,0,0,0,0,0,0,0,,1,1,1,3,1982,1957,1982,4,1,1,10000,3,,,-2,2,1,-8,-2,1,1,-8,2,2,3,-8,36000,5,4,4,4,4,3,3,5,4,4,3,-8,4,3,40,20,20,50,0,30,40,60,30
37,4,1,5,8,23,2015/7/30 11:09,2,1969,1,-8,1,-8,,4,-3,60000,1,,70,0,0,1,0,0,0,0,0,0,,165,105,5,4,4,2,1,3,3,4,3,3,4,2,3,3,2,3,3,2,3,3,4,3,2,3,3,3,3,3,2,2,6,5,6,3,1,3,30,1,3,1,1,2,2,80000,2,4,1,2,1,0,0,0,0,0,0,0,0,,0,1,0,3,1993,1961,1993,9,1,2,80000,1,3,1,-2,3,1,2,-2,3,1,2,2,2,4,2,100000,4,4,4,3,4,4,3,3,4,4,3,4,4,4,80,88,80,80,80,70,70,80,98
38,3,1,26,75,115,2015/8/7 10:27,1,1960,1,1,1,6,,4,-2,15600,1,,24.2,0,1,0,0,0,0,0,0,0,,173,135,4,4,4,2,2,4,2,2,5,1,2,1,5,4,2,5,4,4,2,3,5,5,5,3,3,2,2,3,2,2,4,4,4,2,1,4,30,1,3,1,1,2,2,15600,1,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,6,-3,,,,,,,,,,-2,-8,1,2,1938,3,1,4,3,2,4,2,3000,3,3,3,3,4,2,3,3,3,-8,-8,-8,2,4,60,70,70,60,70,70,60,60,60
39,5,1,27,77,117,2015/7/21 16:43,2,1971,1,1,1,10,,4,1991,-3,1,,180,0,1,1,0,0,0,0,0,0,,160,120,4,5,5,5,2,1,1,1,2,4,1,4,3,3,4,4,2,2,1,1,4,5,1,4,4,3,2,2,2,4,8,5,8,3,5,,,,,2,2,1,2,-3,4,3,1,1,0,1,0,0,0,0,0,0,0,,1,1,2,3,1996,1972,1996,3,1,1,-3,4,,,-2,4,1,16,-2,4,1,2,2,1,4,2,50000,4,5,4,4,5,5,5,3,2,3,2,4,1,2,80,80,90,80,70,80,80,90,60
40,4,1,28,81,123,2015/7/29 10:15,2,1960,1,1,1,3,,4,-2,15000,1,,180,0,1,1,1,0,0,0,0,0,,160,105,5,4,4,5,1,4,3,2,5,1,4,2,5,3,2,5,3,3,3,4,5,5,5,2,4,4,2,5,2,4,4,1,2,1,1,3,15,1,3,1,1,2,2,35000,2,3,1,2,0,1,0,0,0,0,0,0,0,,0,2,0,3,1981,1957,1981,6,1,4,20000,1,3,1,-2,-8,1,2,-2,-8,1,2,2,1,4,2,40000,4,4,4,4,5,5,4,4,4,4,4,4,2,4,80,80,80,80,70,80,80,80,80
41,4,2,2,2,9,2015/7/23 16:43,2,1973,8,0,3,4,,2,1989,12000,1,,300,0,0,1,0,0,0,0,0,0,,169,120,4,3,3,1,1,3,3,2,4,2,2,1,5,3,4,4,3,3,3,3,5,2,5,3,3,3,3,3,1,4,6,6,6,6,1,8,26,1,4,1,1,2,2,35000,4,3,1,2,0,1,0,0,0,0,0,0,0,,1,1,1,3,1993,1968,1993,6,1,2,10000,1,3,1,-2,1,1,16,-2,1,1,2,2,2,3,2,20000,5,5,5,5,5,5,5,5,5,5,4,4,1,5,70,70,70,70,70,70,70,70,70
42,4,2,24,70,110,2015/8/3 9:12,1,1959,1,1,3,4,,4,1978,10000,1,,15,0,1,0,0,0,0,0,0,0,,160,122,3,3,3,1,1,1,3,1,5,1,4,1,5,3,4,4,4,5,2,5,5,5,5,3,3,2,3,7,4,4,4,2,5,1,3,,,,,1,2,2,2,10000,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,1,1,7,1980,,,,,,,,,,1928,3,1,2,1930,1,1,2,2,3,3,2,100000,3,2,4,3,4,4,2,2,4,3,4,4,1,5,85,90,70,70,70,70,85,90,90
43,4,2,10,28,51,2015/7/28 12:08,2,1969,1,1,1,4,,4,1985,20000,1,,90,0,1,0,0,0,0,0,0,0,,162,115,3,3,4,1,1,2,2,1,5,3,1,1,5,2,3,5,4,2,5,5,5,5,3,4,5,1,2,2,2,4,4,3,4,3,2,,,,,1,2,2,2,30000,4,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0,3,1994,1969,1994,6,1,1,10000,1,3,2,1922,2,1,1,1931,1,1,2,2,2,4,2,50000,4,4,3,3,4,3,2,4,2,-8,-8,-8,2,4,70,60,70,70,80,50,70,70,70
